Implication Réseau 1/2/3,Implication 2019-2020,Implication 2017-2018,Latitude,Longitude,Département,Structure,Site Web,Adresse,Ville,CP,Full Address,Description,THEMATIQUE_1,THEMATIQUE_2,THEMATIQUE_3,Type de lieu,Organisation structurelle
,2020,2018,45.760918,5.686596,Ain,Entre-Autres,http://www.entre-autres.org/,11 Bd de Verdun,Belley,01300,11 Bd de Verdun Belley 01300 ,"Entre-autres est une association d’éducation populaire qui propose des formations et des accompagnements sur les questions d’action collective, d’interculturalité et d’égalité. Entre-autres organise des animations socio-culturelles tout au long de l’année et écrit sur ses expériences.",Education /Educ pop,Accueil/ Accompagnement / Solidarités,,Education Populaire,Association
,,,45.186518,5.7361629,,Ville de Grenoble,,11 Boulevard Jean Pain,Grenoble,38021,11 Boulevard Jean Pain Grenoble 38021 ,,,,,,
,,,45.77352800000001,4.8690161,,Association Sainte Madeleine Accueil Migrants,http://associationsmam.blogspot.fr,11 Place Wilson,Villeurbanne,69100,11 Place Wilson Villeurbanne 69100 ,"Accueil des migrants en difficulté, en les aidant pour le logement, l’apprentissage du français, l’administratif et la recherche d’emploi.",,,,,
,2020,,45.7570906,4.8419325,,IREX-EUROPE,http://irex-europe.fr,11 rue Aimé Collomb,Lyon,69003,11 rue Aimé Collomb Lyon 69003 ,Action internationale de lutte pour les droits humains. Collaboration avec des acteurs et militants locaux. Participe à la biennale Traces 2020.,,,,,
,2020,,45.4343265,4.378291,Loire,Amicale Laïque Beaubrun ,https://www.facebook.com/Amicale-La%C3%AFque-de-Beaubrun-105245517748342/,11 Rue Apprentissage,Saint-Etienne,42000,11 Rue Apprentissage Saint-Etienne 42000 ,Association d'éducation populaire et de loisirs et espace de vie sociale. Participe à la construction de la biennale 2020.,Education /Educ pop,,,,
,,,46.2553692,6.1113285,Ain,Cimade Ain,https://www.facebook.com/lacimadepaysdegex/,11 Rue de Genève,Ferney-Voltaire,01210,11 Rue de Genève Ferney-Voltaire 01210 ,"La Cimade a pour but de manifester une solidarité active avec les personnes opprimées et exploitées. Elle défend la dignité et les droits des personnes réfugiées et migrantes quelles que soient leurs origines, leurs opinions politiques ou leurs convictions.",Accueil / Accompagnement / solidarités,,,,
,2020,2018,45.7698668,4.8284291,Rhône,Scènes publiques,,11 rue de l'Annonciade,Lyon,69001,11 rue de l'Annonciade Lyon 69001 ,organise le festival interférences,?,,,,Association
,,,45.7684514,3.082679,,ATELIER LOGEMENT SOLIDAIRE,https://www.facebook.com/Atelier-Logement-Solidaire-857186387675902/,11 rue Marmontel,Clermont-Ferrand,63000,11 rue Marmontel Clermont-Ferrand 63000 ,Association d’innovation sociale qui  recherche et expérimente des solutions pour l’amélioration de l’hébergement.,,,,,
,2020,2018,45.7560653,4.8437342,Rhône,Centre Social Bonnefoi,http://www.csbonnefoi.fr/,11 rue Turenne,Lyon,69003,11 rue Turenne Lyon 69003 ,Le Centre Social est une maison ouverte à celles et ceux qui veulent participer à la vie du quartier et qui ont besoin de service. Accueille des événements en partenariat avec Traces.,Education /Educ pop,,,,Centre Social/MJC/Regie
,2020,,45.5559895,6.6520755,Savoie ,Solidarité Tarentaise,,1112 Avenue de la Tarentaise,Aime-La-Plagne,73210,1112 Avenue de la Tarentaise Aime-La-Plagne 73210 ,,Solidarité,,,,
,2020,,45.770568,4.874349,Rhône,Cinéma le Zola,https://www.lezola.com/,117 cours Emile Zola,Villeurbanne,69100,117 cours Emile Zola Villeurbanne 69100 ,"Cinéma indépendant Art & Essai, engagé sur beaucoup de plans, en particulier sur la question de la migration et en partenariat avec le réseau Traces.",Equipements culturels / lieux / Champ culturel,,,,
,2020,2018,45.1984432,5.7380394,Isère,Collectif K-LI-P,https://compagnieklip.wixsite.com/k-li-p,12 avenue Maréchal Randon,Grenoble,38000,12 avenue Maréchal Randon Grenoble 38000 ,"Collectif artistique dont les œuvres abordent la notion d'identité et d'existence. Travail avec des jeunes mineurs en collaboration avec l'association 3aMIE, et a participé à une exposition lors de la Biennale Traces 2018. ",Artistes/ Collectifs d’artistes,,,Culturelle,Association
,,2016,46.2117015,5.2309527,Ain,Centre socioculturel La Grande Reyssouze,https://www.bourgenbresse.fr/annuaire/350/244-centre-socioculturel-de-la-grande-reyssouze.htm,12 place Alexandre Dumas,Bourg-en-Bresse,1000,12 place Alexandre Dumas Bourg-en-Bresse 1000 ,"Les centres sociaux de Bourg-en-Bresse sont des lieux de proximité à vocation globale, familiale et intergénérationnelle, qui accueillent toute la population en veillant à la mixité sociale.",,,,Centre social,Lieu
,,,45.1867569,5.7303302,,Isèreanybody/ Coordination Migrants,https://www.facebook.com/isereanybody/?rc=p,12 Rue Beyle,Grenoble,38000,12 Rue Beyle Grenoble 38000 ,Pastorale des jeunes à Grenoble. Favoriser les rencontres entre jeunes français et migrants. ,,,,,
,2020,,46.205612,5.2297864,Ain,EMMAUS,,12 Rue Charles Robin,Bourg-en-Bresse,01000,12 Rue Charles Robin Bourg-en-Bresse 01000 ,,Accueil/ Accompagnement / Solidarités,,,,
,2020,2018,45.44049649999999,4.38441,Loire,Les Moyens du Bord,lmdb42.wordpress.com,12 rue d'Arcole,Saint-Étienne,42000,12 rue d'Arcole Saint-Étienne 42000 ,"Lieu d’échanges culturels et de création artistique, Les Moyens du Bord organise aux Biennales Traces des lectures, expositions et débats. ",Accueil / Accompagnement / solidarités,,,Groupe d'Entraide Mutuel,Association
,,,45.7735572,4.832008399999999,,Act For Ref,https://www.actforref.org/,"12 rue des Pierres Plantées",Lyon,69001,"12 rue des Pierres Plantées Lyon 69001 ","L'association Act For Ref agit à la fois au niveau local, national et international, apportant du soutien aux personnes en prise avec les affres de l'exil. ",,,,,
,,,45.677149,6.3926492,Savoie ,Festival le Grand Bivouac,https://www.grandbivouac.com/fr,12 Rue Gambetta,Albertville,73200,12 Rue Gambetta Albertville 73200 ,Festival du film-documentaire & du livre. Mieux comprendre la cohérence et la diversité du monde. ,,,,,
,,2018,45.7929264,3.1137278,Auvergne,Centre Regional d'art dramatique,http://crad.asso.free.fr/,12 rue Kleber,Montferrand,63100 ,12 rue Kleber Montferrand 63100  ,"Association d'éducation populaire, ouverte à tous, propose des ateliers de formation et de réalisation, animés par des bénévoles. A participé à la biennale 2018.",Education /Educ pop,Artistes/ Collectifs d’artistes,,Theatre / Education populaire,Association
,,,45.7652169,4.832784999999999,,BlaBlaMix,https://www.facebook.com/BlaBlaMiX/,12 rue longue,Lyon,69001,12 rue longue Lyon 69001 ,"Production radiophonique pour progresser en français, rencontrer les personnes de la société civile et se faire plaisir. Tous les dimanches midi sur le 102.2 ou sur radicanut.org.",,,,,
,2020,,46.207353,5.225867099999999,Ain,Artisans du Monde,https://www.artisansdumonde.org/les-associations-locales/artisans-du-monde-bourg-en-bresse,12 Rue Paul Pioda,Bourg-en-Bresse,01000,12 Rue Paul Pioda Bourg-en-Bresse 01000 ,Réseau associatif qui reposant sur la mobilisation de plus de 6000 bénévoles et citoyens engagés dans la construction d’un modèle de commerce international plus juste et plus humain. Est également engagé dans la solidarité internationale.,Accueil / Accompagnement / solidarités,,,,
,,2018,45.766776,4.8352628,Rhône,Cie Les Enfants Sauvages ,https://cielesenfantssauvages.com/,12 rue Pizay,Lyon,69001,12 rue Pizay Lyon 69001 ,"Troupe de comédiens formés au théâtre de rue travaillant à partir de textes littéraires. Partenariats avec Traces, spectacle autour des thématiques de la migration.",Artistes/ Collectifs d’artistes,,,Theatre,Compagnie
,2020,2018,46.1992635,5.2254263,Ain,La Tannerie,https://www.la-tannerie.com/,123 place de la Vinaigrerie,Bourg-en-Bresse,01000,123 place de la Vinaigrerie Bourg-en-Bresse 01000 ,"Unique SMAC (Scène de Musiques Actuelles) du département de l’Ain. Studios de répétition, résidences artistiques, sensibilisation autour des musiques actuelles. Espace Café Culturel.",Equipements culturels / lieux / Champ culturel,,,,
,2020,,45.8949441,5.053114799999999,Ain,Association Comm’Une Sereine (Sainte-Croix).,https://www.commune-sereine.fr/,126 Route du Creux d'Ollens,Sainte-Croix,01120,126 Route du Creux d'Ollens Sainte-Croix 01120 ,"Organiser des événements et activités à vocation sociale, culturelle et environnementale. Participe à la biennale Traces 2020.",,,,,
